GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
MED10,ENSG00000133398,6371874,6378571,5,(-),mediator complex subunit 10,X,,3,0,,,,,
CIAPIN1P,ENSG00000263846,26599408,26600338,18,(+),cytokine induced apoptosis inhibitor 1 pseudogene,X,,3,0,,,,,
KAT2B,ENSG00000114166,20040400,20154404,3,(+),lysine acetyltransferase 2B,X,,3,0,,,,,
APP,ENSG00000142192,25880535,26171128,21,(-),amyloid beta precursor protein,X,X,3; 4,1,,,,,
PDCL3,ENSG00000115539,100562968,100577472,2,(+),phosducin like 3,X,X,3; 4,1,,,,,
ACTG1P19,ENSG00000237999,100731240,100732355,9,(+),actin gamma 1 pseudogene 19,X,,3,0,,,,,
SAMD12,ENSG00000177570,118189455,118622112,8,(-),sterile alpha motif domain containing 12,X,,3,0,,,,,
LINCMD1,ENSG00000225613,52146814,52151119,6,(-),"long intergenic non-protein coding RNA, muscle differentiation 1",X,,3,0,,,,,
NMU,ENSG00000109255,55595229,55636747,4,(-),neuromedin U,X,X,3; 6,1,,,,,
RARG,ENSG00000172819,53210566,53232980,12,(-),retinoic acid receptor gamma,X,,3,0,,,,,
NMNAT3,ENSG00000163864,139558709,139678017,3,(-),nicotinamide nucleotide adenylyltransferase 3,X,,3,0,,,,,
STAC,ENSG00000144681,36380321,36548045,3,(+),SH3 and cysteine rich domain,X,,3,0,,,,,
ADH5P4,ENSG00000233859,65836930,65838039,6,(-),ADH5 pseudogene 4,X,,3,0,,,,,
SLC35C1,ENSG00000181830,45804072,45813016,11,(+),solute carrier family 35 member C1,X,,3,0,,,,,
FABP5P7,ENSG00000234964,59781318,59781722,11,(-),fatty acid binding protein 5 pseudogene 7,X,,3,0,,,,,
PRKRA,ENSG00000180228,178431292,178451512,2,(-),protein activator of interferon induced protein kinase EIF2AK2,X,,3,0,,,,,
TNFRSF25,ENSG00000215788,6460786,6466181,1,(-),TNF receptor superfamily member 25,X,,3; 18,0,,,,,
AFMID,ENSG00000183077,78187330,78207703,17,(+),arylformamidase,X,,3,0,,,,,
FGF23,ENSG00000118972,4368227,4379712,12,(-),fibroblast growth factor 23,X,,3,0,,,,,
SMCO4,ENSG00000166002,93478468,93543764,11,(-),single-pass membrane protein with coiled-coil domains 4,X,,3,0,,,,,
ANXA2P3,ENSG00000216740,64825572,64826579,10,(+),annexin A2 pseudogene 3,X,,3,0,,,,,
INF2,ENSG00000203485,104681146,104722535,14,(+),inverted formin 2,X,,3,0,,,,,
ICA1,ENSG00000003147,8113181,8262687,7,(-),islet cell autoantigen 1,X,,3,0,,,,,
NEDD4L,ENSG00000049759,58044050,58401540,18,(+),NEDD4 like E3 ubiquitin protein ligase,X,X,3; 4,1,,,,,
FRY,ENSG00000073910,31846713,32299125,13,(+),FRY microtubule binding protein,X,,3,0,,,,,
TLCD4,ENSG00000152078,95117292,95197607,1,(+),TLC domain containing 4,X,X,3; 6,1,,,,,
BZW1P2,ENSG00000198406,116645902,116646727,3,(-),basic leucine zipper and W2 domains 1 pseudogene 2,X,,3,0,,,,,
MTERF2,ENSG00000120832,106973120,106987173,12,(-),mitochondrial transcription termination factor 2,X,,3,0,,,,,
LRRC32,ENSG00000137507,76657524,76670868,11,(-),leucine rich repeat containing 32,X,X,3; 4,1,,,,,
DDX3P3,ENSG00000251571,103572089,103574082,4,(+),DEAD-box helicase 3 pseudogene 3,X,,3,0,,,,,
EIF3CL,ENSG00000205609,28379397,28403846,16,(-),eukaryotic translation initiation factor 3 subunit C like,X,,3,0,,,,,
ROGDI,ENSG00000067836,4796962,4802926,16,(-),rogdi atypical leucine zipper,X,,3,0,,,,,
PTGDR2,ENSG00000183134,60850933,60855950,11,(-),prostaglandin D2 receptor 2,X,,3,0,,,,,
STING1,ENSG00000184584,139475528,139482935,5,(-),stimulator of interferon response cGAMP interactor 1,X,,3; 18,0,,,,,
H3P43,ENSG00000226436,28659065,28659469,X,(-),H3 histone pseudogene 43,X,,3,0,,,,,
STK24P1,ENSG00000230079,136295690,136300298,X,(-),serine/threonine kinase 24 pseudogene 1,X,X,3; 6,1,,,,,
HLA-P,ENSG00000261548,29800415,29802425,6,(+),"major histocompatibility complex, class I, P (pseudogene)",X,,3,0,,,,,
SLX1B,ENSG00000181625,29454533,29458223,16,(+),"SLX1 homolog B, structure-specific endonuclease subunit",X,,3,0,,,,,
OR2T12,ENSG00000177201,248290139,248303424,1,(-),olfactory receptor family 2 subfamily T member 12,X,,3,0,,,,,
GPR137,ENSG00000173264,64270062,64289494,11,(+),G protein-coupled receptor 137,X,,3,0,,,,,
LGALS3,ENSG00000131981,55121352,55148022,14,(+),galectin 3,X,,3; 18,0,,,,,
CCSAP,ENSG00000154429,229321011,229343294,1,(-),"centriole, cilia and spindle associated protein",X,,3,0,,,,,
TPT1P4,ENSG00000217027,144200447,144200965,6,(-),TPT1 pseudogene 4,X,X,3; 6,1,,,,,
DRC7,ENSG00000159625,57694793,57731805,16,(+),dynein regulatory complex subunit 7,X,,3,0,,,,,
PLIN3,ENSG00000105355,4838339,4867717,19,(-),perilipin 3,X,,3,0,,,,,
IGFL4,ENSG00000204869,46039182,46077118,19,(-),IGF like family member 4,X,,3,0,,,,,
SDCBPP2,ENSG00000247570,69942948,69944648,8,(+),syndecan binding protein pseudogene 2,X,,3,0,,,,,
AXIN2,ENSG00000168646,65528561,65562067,17,(-),axin 2,X,,3,0,,,,,
FAM228B,ENSG00000219626,24076526,24169642,2,(+),family with sequence similarity 228 member B,X,,3,0,,,,,
DMD,ENSG00000198947,31097677,33339609,X,(-),dystrophin,X,X,3; 5,1,,,,,
PCBD2,ENSG00000132570,134905114,135007959,5,(+),pterin-4 alpha-carbinolamine dehydratase 2,X,X,3; 6,1,,,,,
FSIP1,ENSG00000150667,39588357,39782858,15,(-),fibrous sheath interacting protein 1,X,,3,0,,,,,
GEMIN6,ENSG00000152147,38751534,38785002,2,(+),gem nuclear organelle associated protein 6,X,,3,0,,,,,
MIR497HG,ENSG00000267532,6875220,7022133,17,(-),mir-497-195 cluster host gene,X,,3,0,,,,,
GPSM3,ENSG00000213654,32190766,32195523,6,(-),G protein signaling modulator 3,X,,3; 18,0,,,,,
MGLL,ENSG00000074416,127689062,128052190,3,(-),monoglyceride lipase,X,,3,0,,,,,
ST8SIA2,ENSG00000140557,92393881,92468728,15,(+),"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",X,,3,0,,,,,
TRIM58,ENSG00000162722,247857187,247880138,1,(+),tripartite motif containing 58,X,,3,0,,,,,
LRTM1,ENSG00000144771,54918231,54967088,3,(-),leucine rich repeats and transmembrane domains 1,X,,3,0,,,,,
HMGB3,ENSG00000029993,150980509,150990775,X,(+),high mobility group box 3,X,,3; 15; 18,0,,,,,
TMEM236,ENSG00000148483,17752201,17800868,10,(+),transmembrane protein 236,X,,3,0,,,,,
CPPED1,ENSG00000103381,12659799,12803887,16,(-),calcineurin like phosphoesterase domain containing 1,X,,3,0,,,,,
KNOP1,ENSG00000103550,19701937,19718552,16,(-),lysine rich nucleolar protein 1,X,,3,0,,,,,
CT70,ENSG00000230013,104970593,104991818,9,(-),cancer/testis associated transcript 70,X,,3,0,,,,,
GSTM2,ENSG00000213366,109667348,109709551,1,(+),glutathione S-transferase mu 2,X,X,3; 6,1,,,,,
ABCC9,ENSG00000069431,21797389,21942543,12,(-),ATP binding cassette subfamily C member 9,X,,3,0,,,,,
PTPN13,ENSG00000163629,86593944,86815180,4,(+),protein tyrosine phosphatase non-receptor type 13,X,,3,0,,,,,
MYL7,ENSG00000106631,44138864,44143179,7,(-),myosin light chain 7,X,,3,0,,,,,
TPT1P13,ENSG00000213498,121863698,121864196,X,(-),TPT1 pseudogene 13,X,,3,0,,,,,
EPO,ENSG00000130427,100720468,100723700,7,(+),erythropoietin,X,,3,0,,,,,
SSTR3,ENSG00000278195,37204237,37212477,22,(-),somatostatin receptor 3,X,,3,0,,,,,
KLHDC9,ENSG00000162755,161098361,161100346,1,(+),kelch domain containing 9,X,,3,0,,,,,
HECW2,ENSG00000138411,196189099,196593684,2,(-),"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",X,,3,0,,,,,
ABHD5,ENSG00000011198,43690108,43734371,3,(+),"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",X,,3,0,,,,,
FAM41C,ENSG00000230368,868052,877032,1,(-),family with sequence similarity 41 member C,X,,3,0,,,,,
GPR85,ENSG00000164604,113078331,113087778,7,(-),G protein-coupled receptor 85,X,,3,0,,,,,
IL1RL2,ENSG00000115598,102186980,102240002,2,(+),interleukin 1 receptor like 2,X,,3; 16,0,,,,,
PERP,ENSG00000112378,138088505,138107419,6,(-),p53 apoptosis effector related to PMP22,X,,3; 18,0,,,,,
TRIP13,ENSG00000071539,892884,919357,5,(+),thyroid hormone receptor interactor 13,X,,3; 18,0,,,,,
TOR4A,ENSG00000198113,137274854,137282641,9,(+),torsin family 4 member A,X,,3,0,,,,,
RANP4,ENSG00000225125,136807223,136807877,X,(-),RAN pseudogene 4,X,X,3; 6,1,,,,,
TPT1P5,ENSG00000214108,31908361,31909186,5,(+),TPT1 pseudogene 5,X,,3,0,,,,,
SYT3,ENSG00000213023,50621307,50640040,19,(-),synaptotagmin 3,X,,3,0,,,,,
NIFKP3,ENSG00000256331,7604350,7605214,12,(-),NIFK pseudogene 3,X,,3,0,,,,,
KRBA2,ENSG00000184619,8356902,8376738,17,(-),KRAB-A domain containing 2,X,,3,0,,,,,
NCAPG2,ENSG00000146918,158628224,158704825,7,(-),non-SMC condensin II complex subunit G2,X,,3; 18,0,,,,,
LIMS4,ENSG00000256671,110445883,110473075,2,(-),LIM zinc finger domain containing 4,X,,3,0,,,,,
CCDC170,ENSG00000120262,151494013,151621193,6,(+),coiled-coil domain containing 170,X,,3,0,,,,,
BCL11A,ENSG00000119866,60450520,60554467,2,(-),BCL11 transcription factor A,X,,3,0,,,,,
XGY2,ENSG00000290840,2752083,2854641,Y,(+),XG Y-linked 2 (pseudogene),X,,3,0,,,,,
CEP43,ENSG00000213066,166999174,167052718,6,(+),centrosomal protein 43,X,,3,0,,,,,
FAM238B,ENSG00000231976,26650554,26653383,10,(+),family with sequence similarity 238 member B,X,,3,0,,,,,
DDHD1,ENSG00000100523,53036745,53153353,14,(-),DDHD domain containing 1,X,,3,0,,,,,
MT2A,ENSG00000125148,56608584,56609497,16,(+),metallothionein 2A,X,,3; 18,0,,,,,
CMA1,ENSG00000092009,24505353,24508265,14,(-),chymase 1,X,,3,0,,,,,
FSBP,ENSG00000265817,94378377,94436952,8,(-),fibrinogen silencer binding protein,X,,3,0,,,,,
C3P1,ENSG00000167798,10037803,10074135,19,(+),complement component 3 precursor pseudogene,X,,3,0,,,,,
TREML4,ENSG00000188056,41228339,41238882,6,(+),triggering receptor expressed on myeloid cells like 4,X,,3,0,,,,,
RPL5P12,ENSG00000242697,98025390,98026240,4,(+),ribosomal protein L5 pseudogene 12,X,,3,0,,,,,
MGAT4A,ENSG00000071073,98619106,98732639,2,(-),"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",X,X,3; 4; 18,1,,,,,
JSRP1,ENSG00000167476,2252074,2269759,19,(-),junctional sarcoplasmic reticulum protein 1,X,,3,0,,,,,
ADI1P2,ENSG00000250684,102688317,102688906,8,(-),acireductone dioxygenase 1 pseudogene 2,X,,3,0,,,,,
IRS2,ENSG00000185950,109752695,109786583,13,(-),insulin receptor substrate 2,X,X,3; 4,1,,,,,
MYB,ENSG00000118513,135181308,135219173,6,(+),"MYB proto-oncogene, transcription factor",X,,3,0,,,,,
SERINC4,ENSG00000184716,43794162,43800220,15,(-),serine incorporator 4,X,,3,0,,,,,
ANXA8,ENSG00000265190,47460162,47484175,10,(-),annexin A8,X,,3,0,,,,,
SMCR5,ENSG00000226746,17776686,17779529,17,(-),"Smith-Magenis syndrome chromosome region, candidate 5",X,,3,0,,,,,
NTN4,ENSG00000074527,95657807,95791189,12,(-),netrin 4,X,,3,0,,,,,
ADTRP,ENSG00000111863,11712054,11807046,6,(-),androgen dependent TFPI regulating protein,X,,3,0,,,,,
TMIGD2,ENSG00000167664,4292227,4302431,19,(-),transmembrane and immunoglobulin domain containing 2,X,,3; 18,0,,,,,
PDPN,ENSG00000162493,13583465,13617957,1,(+),podoplanin,X,,3,0,,,,,
LRRC75A,ENSG00000181350,16441577,16492237,17,(-),leucine rich repeat containing 75A,X,,3,0,,,,,
LPCAT4,ENSG00000176454,34358633,34367539,15,(-),lysophosphatidylcholine acyltransferase 4,X,,3; 18,0,,,,,
TRAV27,ENSG00000211809,22147995,22148633,14,(+),T cell receptor alpha variable 27,X,,3,0,,,,,
BCL2L15,ENSG00000188761,113876816,113887581,1,(-),BCL2 like 15,X,,3,0,,,,,
TEX30,ENSG00000151287,102765888,102773811,13,(-),testis expressed 30,X,,3,0,,,,,
PPIAP71,ENSG00000244183,60732144,60732636,3,(-),peptidylprolyl isomerase A pseudogene 71,X,,3,0,,,,,
OSBPL1A,ENSG00000141447,24162045,24397880,18,(-),oxysterol binding protein like 1A,X,,3,0,,,,,
PLCL1,ENSG00000115896,197804593,198572581,2,(+),phospholipase C like 1 (inactive),X,,3,0,,,,,
VLDLR,ENSG00000147852,2621182,2660056,9,(+),very low density lipoprotein receptor,X,,3,0,,,,,
TRBV5-1,ENSG00000211734,142320677,142321544,7,(+),T cell receptor beta variable 5-1,X,,3,0,,,,,
FSIP2,ENSG00000188738,185738804,185833290,2,(+),fibrous sheath interacting protein 2,X,,3,0,,,,,
AQP10,ENSG00000143595,154321090,154325325,1,(+),aquaporin 10,X,,3,0,,,,,
CRADD,ENSG00000169372,93677375,93894840,12,(+),CASP2 and RIPK1 domain containing adaptor with death domain,X,,3,0,,,,,
SETP9,ENSG00000235101,160670148,160670979,1,(+),SET pseudogene 9,X,,3,0,,,,,
NCF4,ENSG00000100365,36860988,36878017,22,(+),neutrophil cytosolic factor 4,X,,3; 18,0,,,,,
NUBP1,ENSG00000103274,10743786,10769353,16,(+),"NUBP iron-sulfur cluster assembly factor 1, cytosolic",X,,3,0,,,,,
DEGS1,ENSG00000143753,224175756,224193441,1,(+),"delta 4-desaturase, sphingolipid 1",X,,3,0,,,,,
PXDC1,ENSG00000168994,3722614,3751713,6,(-),PX domain containing 1,X,,3,0,,,,,
SPART,ENSG00000133104,36301638,36370215,13,(-),spartin,X,,3,0,,,,,
WDFY2,ENSG00000139668,51583927,51767709,13,(+),WD repeat and FYVE domain containing 2,X,,3,0,,,,,
RPL7P38,ENSG00000239473,80028893,80029631,12,(+),ribosomal protein L7 pseudogene 38,X,,3,0,,,,,
UEVLD,ENSG00000151116,18529607,18588747,11,(-),UEV and lactate/malate dehyrogenase domains,X,,3,0,,,,,
SHOX,ENSG00000292354,624344,659411,Y,(+),SHOX homeobox,X,,3,0,,,,,
MAP3K4,ENSG00000085511,160991473,161117385,6,(+),mitogen-activated protein kinase kinase kinase 4,X,,3,0,,,,,
RBPJ,ENSG00000168214,26163455,26435131,4,(+),recombination signal binding protein for immunoglobulin kappa J region,X,,3; 18,0,,,,,
TPM4P1,ENSG00000232230,100114417,100115223,10,(-),TPM4 pseudogene 1,X,,3,0,,,,,
INPP5F,ENSG00000198825,119726035,119829151,10,(+),inositol polyphosphate-5-phosphatase F,X,,3,0,,,,,
OOSP2,ENSG00000149507,60040409,60048044,11,(+),oocyte secreted protein 2,X,,3,0,,,,,
GK4P,ENSG00000178146,101778969,101780538,X,(-),glycerol kinase 4 pseudogene,X,,3,0,,,,,
FNDC9,ENSG00000172568,157341598,157345677,5,(-),fibronectin type III domain containing 9,X,,3,0,,,,,
ADAM15,ENSG00000143537,155050566,155062780,1,(+),ADAM metallopeptidase domain 15,X,,3,0,,,,,
EVI2B,ENSG00000185862,31303770,31314421,17,(-),ecotropic viral integration site 2B,X,X,3; 4; 18,1,,,,,
H3P6,ENSG00000235655,174719908,174720318,2,(+),H3 histone pseudogene 6,X,X,3; 4,1,,,,,
MFF,ENSG00000168958,227325151,227361188,2,(+),mitochondrial fission factor,X,,3,0,,,,,
EIF3LP1,ENSG00000258501,81916231,81917888,14,(+),eukaryotic translation initiation factor 3 subunit L pseudogene 1,X,,3,0,,,,,
EED,ENSG00000074266,86201212,86279807,11,(+),embryonic ectoderm development,X,,3; 18,0,,,,,
GAPDHP76,ENSG00000249840,11585246,11587135,19,(+),glyceraldehyde-3-phosphate dehydrogenase pseudogene 76,X,,3,0,,,,,
PRR23A,ENSG00000206260,139003962,139006268,3,(-),proline rich 23A,X,,3,0,,,,,
SIAE,ENSG00000110013,124633113,124695707,11,(-),sialic acid acetylesterase,X,,3,0,,,,,
ZNF66,ENSG00000160229,20776304,20810361,19,(+),zinc finger protein 66,X,,3,0,,,,,
CA2,ENSG00000104267,85463968,85481493,8,(+),carbonic anhydrase 2,X,,3,0,,,,,
GPR142,ENSG00000257008,74367458,74372600,17,(+),G protein-coupled receptor 142,X,,3,0,,,,,
RYR1,ENSG00000196218,38433691,38595273,19,(+),ryanodine receptor 1,X,X,3; 4,1,,,,,
HDAC9,ENSG00000048052,18086949,19002416,7,(+),histone deacetylase 9,X,,3,0,,,,,
TREX1,ENSG00000213689,48465811,48467645,3,(+),three prime repair exonuclease 1,X,,3,0,,,,,
LHFPL6,ENSG00000183722,39209116,39603735,13,(-),LHFPL tetraspan subfamily member 6,X,,3,0,,,,,
HRH4,ENSG00000134489,24460637,24479961,18,(+),histamine receptor H4,X,X,3; 4; 6,1,,,,,
CUL1P1,ENSG00000251032,127784618,127787042,5,(-),cullin 1 pseudogene 1,X,,3,0,,,,,
PPP1R26,ENSG00000196422,135479073,135488897,9,(+),protein phosphatase 1 regulatory subunit 26,X,,3,0,,,,,
CCL24,ENSG00000106178,75810825,75823943,7,(-),C-C motif chemokine ligand 24,X,,3,0,,,,,
PPIAP14,ENSG00000264775,5002759,5003254,18,(-),peptidylprolyl isomerase A pseudogene 14,X,,3,0,,,,,
TPTEP2,ENSG00000244627,38361381,38384096,22,(-),TPTE pseudogene 2,X,,3,0,,,,,
MKNK1,ENSG00000079277,46557407,46616843,1,(-),MAPK interacting serine/threonine kinase 1,X,,3; 18,0,,,,,
GVINP2,ENSG00000254781,6748131,6750324,11,(+),"GTPase, very large interferon inducible pseudogene 2",X,,3,0,,,,,
CCDC50,ENSG00000152492,191329085,191398659,3,(+),coiled-coil domain containing 50,X,,3; 15,0,,,,,
FARP1,ENSG00000152767,98142165,98455176,13,(+),"FERM, ARH/RhoGEF and pleckstrin domain protein 1",X,,3,0,,,,,
SAMSN1,ENSG00000155307,14485228,14658821,21,(-),"SAM domain, SH3 domain and nuclear localization signals 1",X,,3; 18,0,,,,,
TRAV9-2,ENSG00000211793,21941128,21941657,14,(+),T cell receptor alpha variable 9-2,X,,3,0,,,,,
UICLM,ENSG00000233392,240954617,240967451,2,(-),up-regulated in colorectal cancer liver metastasis,X,,3,0,,,,,
LCN6,ENSG00000267206,136744017,136748525,9,(-),lipocalin 6,X,,3,0,,,,,
KCP,ENSG00000135253,128862042,128910719,7,(-),kielin cysteine rich BMP regulator,X,,3,0,,,,,
SLC66A1,ENSG00000040487,19312284,19329300,1,(+),solute carrier family 66 member 1,X,,3,0,,,,,
RPS5P3,ENSG00000215088,33481580,33482195,21,(-),RPS5 pseudogene 3,X,,3,0,,,,,
RGS6,ENSG00000182732,71932429,72566530,14,(+),regulator of G protein signaling 6,X,X,3; 4,1,,,,,
PAGR1,ENSG00000280789,29816152,29822489,16,(+),PAXIP1 associated glutamate rich protein 1,X,,3,0,,,,,
JAML,ENSG00000160593,118193725,118226323,11,(-),junction adhesion molecule like,X,X,3; 4; 18,1,,,,,
SHH,ENSG00000164690,155799980,155812463,7,(-),sonic hedgehog signaling molecule,X,X,3; 5,1,,,,,
TNFRSF18,ENSG00000186891,1203508,1206592,1,(-),TNF receptor superfamily member 18,X,,3; 18,0,,,,,
OR8K2P,ENSG00000255134,56335142,56336068,11,(+),olfactory receptor family 8 subfamily K member 2 pseudogene,X,,3,0,,,,,
CDC42P6,ENSG00000237350,22727375,22727950,4,(-),CDC42 pseudogene 6,X,,3,0,,,,,
SECTM1,ENSG00000141574,82321024,82335518,17,(-),secreted and transmembrane 1,X,,3,0,,,,,
RBM8B,ENSG00000258427,60397757,60398281,14,(+),NA,X,,3,0,,,,,
EIF1P3,ENSG00000231684,182336001,182336334,1,(+),eukaryotic translation initiation factor 1 pseudogene 3,X,,3,0,,,,,
SYTL5,ENSG00000147041,38006515,38128819,X,(+),synaptotagmin like 5,X,,3,0,,,,,
PGK1P1,ENSG00000228328,68070520,68071767,X,(-),phosphoglycerate kinase 1 pseudogene 1,X,,3,0,,,,,
LONRF3,ENSG00000175556,118974614,119022925,X,(+),LON peptidase N-terminal domain and ring finger 3,X,,3,0,,,,,
UBBP4,ENSG00000263563,22204093,22205009,17,(+),ubiquitin B pseudogene 4,X,,3,0,,,,,
UBBP5,ENSG00000228074,87219004,87219269,13,(+),ubiquitin B pseudogene 5,X,,3,0,,,,,
OR5AS1,ENSG00000181785,56027654,56038191,11,(+),olfactory receptor family 5 subfamily AS member 1,X,,3,0,,,,,
CUTA,ENSG00000112514,33416442,33418381,6,(-),cutA divalent cation tolerance homolog,X,X,3; 5; 18,1,,,,,
PRRG3,ENSG00000130032,151694607,151705924,X,(+),proline rich and Gla domain 3,X,,3,0,,,,,
UBE2D2,ENSG00000131508,139526431,139628434,5,(+),ubiquitin conjugating enzyme E2 D2,X,X,3; 4; 5; 18,1,,,,,
RPL35P1,ENSG00000237991,236981339,236981708,1,(+),ribosomal protein L35 pseudogene 1,X,,3,0,,,,,
NLRP9,ENSG00000185792,55708438,55738402,19,(-),NLR family pyrin domain containing 9,X,,3,0,,,,,
SLAMF1,ENSG00000117090,160608100,160647044,1,(-),signaling lymphocytic activation molecule family member 1,X,X,3; 4; 18,1,,,,,
VENTX,ENSG00000151650,133235769,133241929,10,(+),VENT homeobox,X,,3,0,,,,,
ARF3,ENSG00000134287,48935723,48957514,12,(-),ARF GTPase 3,X,,3,0,,,,,
IMPDH1,ENSG00000106348,128392277,128410009,7,(-),inosine monophosphate dehydrogenase 1,X,,3,0,,,,,
GASK1A,ENSG00000144649,42979087,43067898,3,(+),golgi associated kinase 1A,X,X,3; 4,1,,,,,
NBPF9,ENSG00000269713,149052186,149103591,1,(-),NBPF member 9,X,,3,0,,,,,
TSPAN15,ENSG00000099282,69451150,69507676,10,(+),tetraspanin 15,X,,3,0,,,,,
FMO4,ENSG00000076258,171314091,171343741,1,(+),flavin containing dimethylaniline monoxygenase 4,X,,3,0,,,,,
GGCX,ENSG00000115486,85544720,85561819,2,(-),gamma-glutamyl carboxylase,X,,3,0,,,,,
GPANK1,ENSG00000204438,31661228,31666283,6,(-),G-patch domain and ankyrin repeats 1,X,,3,0,,,,,
UQCRHL,ENSG00000233954,15807169,15809348,1,(-),ubiquinol-cytochrome c reductase hinge protein like,X,,3,0,,,,,
KCNC3,ENSG00000131398,50311937,50333515,19,(-),potassium voltage-gated channel subfamily C member 3,X,,3,0,,,,,
RPS2P4,ENSG00000196183,104835997,104836852,14,(-),ribosomal protein S2 pseudogene 4,X,,3,0,,,,,
PKMP1,ENSG00000236480,114535995,114537840,1,(+),pyruvate kinase M1/2 pseudogene 1,X,,3,0,,,,,
RNF7,ENSG00000114125,141738249,141747560,3,(+),ring finger protein 7,X,X,3; 5,1,,,,,
KRT4,ENSG00000170477,52806549,52814116,12,(-),keratin 4,X,,3,0,,,,,
ACTBP8,ENSG00000220267,88275882,88276989,6,(-),ACTB pseudogene 8,X,X,3; 4,1,,,,,
FAM50B,ENSG00000145945,3849373,3851320,6,(+),family with sequence similarity 50 member B,X,,3,0,,,,,
TPM3P2,ENSG00000214200,33912323,33913336,20,(-),tropomyosin 3 pseudogene 2,X,,3,0,,,,,
MB21D2,ENSG00000180611,192796815,192917856,3,(-),Mab-21 domain containing 2,X,,3,0,,,,,
FAM174B,ENSG00000185442,92617448,92809884,15,(-),family with sequence similarity 174 member B,X,,3,0,,,,,
NPM1P32,ENSG00000213239,121708512,121709115,2,(-),nucleophosmin 1 pseudogene 32,X,,3,0,,,,,
RHBDL1,ENSG00000103269,675671,678268,16,(+),rhomboid like 1,X,,3,0,,,,,
CD93,ENSG00000125810,23065139,23086324,20,(-),CD93 molecule,X,,3,0,,,,,
ATF4P3,ENSG00000228218,76225751,76226806,17,(-),activating transcription factor 4 pseudogene 3,X,,3,0,,,,,
MICAL2,ENSG00000133816,12094008,12362140,11,(+),"microtubule associated monooxygenase, calponin and LIM domain containing 2",X,,3,0,,,,,
LAYN,ENSG00000204381,111540280,111561745,11,(+),layilin,X,,3,0,,,,,
CORO6,ENSG00000167549,29614756,29622923,17,(-),coronin 6,X,,3,0,,,,,
WNT7A,ENSG00000154764,13816258,13880071,3,(-),Wnt family member 7A,X,,3,0,,,,,
LDHAP7,ENSG00000235847,84777259,84778223,2,(-),lactate dehydrogenase A pseudogene 7,X,,3,0,,,,,
VAMP4,ENSG00000117533,171700160,171743206,1,(-),vesicle associated membrane protein 4,X,,3,0,,,,,
SIX1,ENSG00000126778,60643421,60658259,14,(-),SIX homeobox 1,X,,3,0,,,,,
ID2,ENSG00000115738,8678845,8684461,2,(+),inhibitor of DNA binding 2,X,,3; 18,0,,,,,
PLIN2,ENSG00000147872,19108375,19149369,9,(-),perilipin 2,X,,3,0,,,,,
TERT,ENSG00000164362,1253147,1295085,5,(-),telomerase reverse transcriptase,X,,3,0,,,,,
B3GNTL1,ENSG00000175711,82942149,83051829,17,(-),"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1",X,,3,0,,,,,
ACADL,ENSG00000115361,210187126,210225447,2,(-),acyl-CoA dehydrogenase long chain,X,,3,0,,,,,
TVP23A,ENSG00000166676,10760919,10818794,16,(-),trans-golgi network vesicle protein 23 homolog A,X,,3,0,,,,,
NOC2LP1,ENSG00000213225,130229379,130231613,2,(+),NOC2 like nucleolar associated transcriptional repressor pseudogene 1,X,,3,0,,,,,
SPIRE2,ENSG00000204991,89818179,89871319,16,(+),spire type actin nucleation factor 2,X,,3,0,,,,,
YWHAZP5,ENSG00000213260,105686322,105687051,10,(+),tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5,X,,3,0,,,,,
STON1,ENSG00000243244,48529376,48598922,2,(+),stonin 1,X,,3,0,,,,,
IGFBPL1,ENSG00000137142,38406528,38424454,9,(-),insulin like growth factor binding protein like 1,X,,3,0,,,,,
MAGEH1,ENSG00000187601,55452127,55453566,X,(+),MAGE family member H1,X,,3,0,,,,,
SUB1P1,ENSG00000227203,11790005,11790386,8,(+),SUB1 pseudogene 1,X,,3,0,,,,,
HEPACAM,ENSG00000165478,124919205,124936431,11,(-),hepatic and glial cell adhesion molecule,X,,3,0,,,,,
GTF2IP13,ENSG00000272556,45773595,45783157,7,(+),general transcription factor IIi pseudogene 13,X,,3,0,,,,,
INAVA,ENSG00000163362,200891003,200915742,1,(+),innate immunity activator,X,,3,0,,,,,
FOXN4,ENSG00000139445,109277978,109309284,12,(-),forkhead box N4,X,,3,0,,,,,
PROK2,ENSG00000163421,71771655,71785206,3,(-),prokineticin 2,X,,3,0,,,,,
CENPM,ENSG00000100162,41927514,41947183,22,(-),centromere protein M,X,,3; 18,0,,,,,
NPPB,ENSG00000120937,11857464,11858976,1,(-),natriuretic peptide B,X,,3,0,,,,,
SDCBPP3,ENSG00000232801,40890647,40891537,X,(-),syndecan binding protein pseudogene 3,X,,3,0,,,,,
